[2018-06-14 08:55:10] [TEST] thread

[2018-06-14 08:55:13] [TEST] post

[2018-06-14 08:55:14] [TEST] index

[2018-06-14 08:55:59] [TEST] thread

[2018-06-14 08:56:12] [TEST] post

[2018-06-14 08:56:13] [TEST] index

[2018-06-14 16:08:16] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:08:23] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:08:24] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:08:24] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:08:25] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:08:25] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


